47329|198880|-1
8220|61247|-1
8473|59586|-1
12357|50235|-1
29075|21247|-1
32592|25968|-1
7018|22001|-1
3549|1828|-1
58224|51130|-1
3257|12|-1
3216|50776|-1
38930|50018|-1
3326|15742|-1
3908|22097|-1
353|306|1
3549|263018|-1
29492|197212|-1
3549|39957|-1
198934|51609|-1
6461|46930|-1
4766|45376|-1
41881|43395|-1
3741|2018|-1
6703|51122|-1
45899|131397|-1
3356|6618|-1
4230|52523|-1
35815|21275|-1
7018|7723|-1
701|18971|-1
32020|47060|-1
3549|547|-1
3356|25248|-1
9498|10121|-1
3209|44974|-1
8781|21859|-1
43201|29031|-1
3356|16553|-1
3356|36047|-1
1764|51066|-1
8866|58079|-1
9824|7686|-1
1273|3573|-1
15772|57605|-1
38193|58470|-1
701|40459|-1
42652|16017|-1
6619|38130|1
17408|9831|-1
33871|29520|-1
20473|43288|-1
16713|25764|-1
3356|23517|-1
35328|60895|-1
39737|57450|-1
37619|36934|1
26554|18938|-1
8932|51354|-1
174|199277|-1
39737|35577|-1
8220|42063|-1
8452|37112|-1
174|26548|-1
3356|27324|-1
35320|48692|-1
28207|262674|-1
8560|48777|-1
13178|198076|-1
6461|23234|-1
20485|28906|1
6453|9908|-1
9121|13102|-1
6461|25955|-1
23106|53183|-1
52468|3790|-1
4808|58850|-1
174|262273|-1
16657|18798|-1
174|21159|-1
3758|3908|-1
12389|52043|-1
9498|55441|-1
8220|39020|-1
52993|53181|-1
10796|25971|-1
14866|14268|-1
34984|35079|-1
4775|24451|1
35168|41750|-1
209|20433|-1
8167|52910|-1
50581|56972|-1
3257|6866|-1
11426|18495|-1
59605|24429|-1
7018|27414|-1
22351|327722|-1
41313|16154|-1
262657|53049|-1
28260|262561|-1
174|30093|-1
8167|12140|-1
8220|60458|-1
40915|5|-1
174|4195|-1
9002|42289|-1
5610|25321|-1
1680|8867|-1
20278|131199|-1
2152|2037|-1
7018|3555|-1
33763|37185|-1
17676|7511|-1
31133|199539|-1
13329|22725|-1
174|33360|-1
4766|11528|-1
3356|14140|-1
9049|43478|1
7018|6118|-1
43668|44303|-1
6736|24707|-1
6830|51654|-1
701|26757|-1
855|17170|-1
9002|51069|-1
20485|56977|-1
4788|45430|-1
30781|51458|-1
33287|26881|-1
174|199441|-1
174|11262|-1
3356|19030|-1
3209|8373|-1
327724|328586|-1
32787|20705|-1
4755|45885|-1
6830|31244|-1
3356|46508|-1
3356|12942|-1
209|22247|-1
199599|29172|-1
3257|48237|-1
8220|393330|-1
6327|46877|-1
174|26511|-1
174|57977|-1
24863|8524|-1
12905|44234|-1
37282|37030|-1
20473|393559|-1
21003|37566|-1
6461|16588|-1
174|50746|-1
5006|18723|-1
30781|42349|-1
26554|10685|-1
12530|35341|-1
2110|31733|-1
209|40380|-1
1257|41819|-1
10429|262576|-1
7014|30639|-1
25513|35475|-1
60299|48607|-1
6461|17378|-1
197140|39156|-1
1764|29056|-1
3267|50568|-1
1820|50298|-1
8437|3201|-1
14868|28181|-1
28343|262978|-1
34984|47524|-1
55410|23901|-1
6327|47023|-1
18895|46868|-1
2152|23369|-1
16245|198141|-1
6059|21767|-1
2856|14297|-1
11404|11323|-1
13536|29994|-1
1653|2833|-1
