174|11713|-1
12389|44905|-1
30781|57023|-1
11427|35858|-1
18566|26669|-1
174|17604|-1
36086|16570|-1
31133|47258|-1
6453|9416|-1
196735|197542|-1
25490|34777|-1
51551|196744|-1
22773|32350|-1
174|393606|-1
2072|199255|-1
12389|50850|-1
57344|59851|-1
4755|55353|-1
1239|25953|-1
25795|5706|-1
174|36958|-1
39792|51230|-1
174|14125|-1
8220|43509|-1
6128|35991|-1
24785|34345|-1
10913|11054|-1
43531|197692|-1
2914|18888|-1
28996|50004|-1
32748|393504|-1
20904|51691|-1
29053|14576|-1
33659|21690|-1
4181|46081|-1
25159|30869|-1
9049|39435|1
293|3562|-1
47205|44358|-1
17227|393400|-1
7018|54787|-1
43350|50827|-1
18881|28652|-1
15964|37475|-1
174|40106|-1
13591|21603|-1
3303|34532|-1
20001|54690|-1
6939|50888|-1
41966|41312|-1
209|13913|-1
35400|49714|-1
28238|262874|-1
174|33854|-1
3356|16619|-1
33668|32477|-1
52699|28128|-1
4323|393736|-1
8595|43319|-1
44889|57457|-1
8218|16347|-1
10834|52427|-1
23005|32319|-1
39582|25145|-1
18881|262594|-1
25933|11432|-1
41066|50166|-1
132602|18230|-1
19151|8100|-1
1299|198710|-1
3356|46678|-1
4755|45241|-1
6731|39266|-1
20485|59515|-1
32787|59451|-1
38809|4851|-1
52320|28663|-1
2828|17166|-1
12357|34285|-1
12124|6485|-1
3356|15162|-1
1299|132876|-1
3356|27358|-1
3257|19165|-1
3549|15641|-1
4808|56282|-1
7049|52473|-1
13249|51314|-1
4766|55622|-1
174|5690|-1
20900|47233|-1
209|14149|-1
3356|198328|-1
16397|262609|-1
3741|15808|-1
4323|393274|-1
50144|34655|1
3352|25261|-1
13189|43021|-1
2516|10003|-1
1299|39505|-1
174|393811|-1
8220|31398|-1
5541|39511|-1
131274|55996|-1
7018|36542|-1
37100|328015|-1
52361|28073|-1
6453|3758|-1
3356|44788|-1
20115|18675|-1
53471|26863|-1
3356|54197|-1
5610|198657|-1
174|25809|-1
17676|18282|-1
39792|34241|-1
1955|2547|-1
4755|12128|-1
174|57208|-1
196645|36344|-1
19092|5715|-1
701|16868|-1
4800|38502|-1
29119|58345|-1
1239|4046|-1
48293|43433|-1
28226|262509|-1
1299|13676|-1
3257|48918|-1
3561|22951|-1
209|16640|-1
16735|53011|-1
29226|24774|-1
42708|29468|-1
2828|12165|-1
6471|11340|-1
6461|30419|-1
174|18880|-1
18451|32773|-1
3216|199420|-1
39386|43775|-1
7385|6239|-1
39928|29389|-1
8220|15436|-1
20764|198367|-1
2828|54869|-1
5078|3923|-1
174|199139|-1
174|43192|-1
10796|36199|-1
2665|820|-1
6939|40805|-1
7018|18824|-1
3216|198376|-1
22351|26243|-1
26668|27243|-1
25577|34811|-1
4755|59162|-1
27552|54611|-1
11758|21921|-1
20141|22157|-1
24631|44531|-1
4766|23587|-1
7029|40645|-1
40762|11440|-1
